season,defense,predicted_percent_pcp,pcpoe
2019,CHI,0.472770506865263,52.7229493134737
2019,CHI,0.412503366720684,58.7496633279316
2019,GB,0.390146316213031,60.9853683786969
2019,GB,0.33374449232173,-33.374449232173
2019,GB,0.424461853705635,57.5538146294365
2019,GB,0.28832928725185,71.167071274815
2019,GB,0.378845339194914,62.1154660805086
2019,CHI,0.29705654020256,-29.705654020256
2019,CHI,0.401874134419848,-40.1874134419848
2019,GB,0.343606936362299,65.6393063637701
2019,CHI,0.424461853705635,57.5538146294365
2019,CHI,0.28832928725185,-28.832928725185
2019,CHI,0.33374449232173,-33.374449232173
2019,GB,0.461809042147823,-46.1809042147823
2019,GB,0.215479951417784,-21.5479951417784
2019,GB,0.43739780641593,-43.739780641593
2019,GB,0.424461853705635,-42.4461853705635
2019,GB,0.240834021620684,-24.0834021620684
2019,CHI,0.424461853705635,-42.4461853705635
2019,CHI,0.424461853705635,-42.4461853705635
2019,CHI,0.444843438569212,55.5156561430788
2019,CHI,0.469620812260291,-46.9620812260291
2019,GB,0.448262452956814,-44.8262452956814
2019,GB,0.268513047229662,-26.8513047229662
2019,GB,0.448726959417082,-44.8726959417082
2019,CHI,0.43739780641593,-43.739780641593
2019,CHI,0.423711711338217,57.6288288661783
2019,CHI,0.223017404489148,-22.3017404489148
2019,CHI,0.433239435666315,56.6760564333686
2019,CHI,0.376917831417214,62.3082168582786
2019,GB,0.457141283790773,-45.7141283790773
2019,GB,0.432485437610809,56.7514562389191
2019,GB,0.357866690259087,-35.7866690259087
2019,GB,0.481710949333927,-48.1710949333928
2019,GB,0.42121463999402,-42.121463999402
2019,CHI,0.42303507473743,57.696492526257
2019,CHI,0.26663915532184,73.336084467816
2019,CHI,0.458070572571766,54.1929427428234
2019,CHI,0.42303507473743,57.696492526257
2019,CHI,0.229951146708537,-22.9951146708537
2019,GB,0.482176870702177,51.7823129297823
2019,GB,0.446817781157042,55.3182218842958
2019,GB,0.445898804556435,55.4101195443565
2019,CHI,0.458070572571766,-45.8070572571766
2019,CHI,0.469020632600652,53.0979367399348
2019,GB,0.318063341277654,-31.8063341277654
2019,GB,0.412503366720684,58.7496633279316
2019,CHI,0.379720824946939,-37.9720824946939
2019,CHI,0.459643105066503,54.0356894933497
2019,CHI,0.424461853705635,57.5538146294365
2019,CHI,0.448726959417082,-44.8726959417082
2019,CHI,0.199568400637572,-19.9568400637572
2019,CHI,0.248976893442118,-24.8976893442118
2019,GB,0.21519550837053,78.480449162947
2019,CHI,0.448726959417082,-44.8726959417082
2019,CHI,0.389261878081319,61.0738121918681
2019,GB,0.448262452956814,-44.8262452956814
2019,GB,0.484104915155179,-48.4104915155179
2019,GB,0.277249999346067,72.2750000653933
2019,GB,0.379720824946939,-37.9720824946939
2019,GB,0.389261878081319,-38.9261878081319
2019,GB,0.333370273387909,-33.3370273387909
2019,CHI,0.448726959417082,-44.8726959417082
2019,CHI,0.448726959417082,-44.8726959417082
2019,CHI,0.39978049026147,-39.978049026147
2019,GB,0.43739780641593,56.260219358407
2019,GB,0.308589382762251,-30.8589382762251
2019,GB,0.413741486880532,-41.3741486880532
2019,GB,0.424461853705635,-42.4461853705635
2019,GB,0.327996158848875,-32.7996158848875
2019,GB,0.484104915155179,-48.4104915155179
2019,GB,0.484104915155179,-48.4104915155179
2019,GB,0.448726959417082,55.1273040582918
2019,GB,0.39978049026147,60.021950973853
2019,CHI,0.472770506865263,-47.2770506865263
2019,CHI,0.448726959417082,-44.8726959417082
2019,CHI,0.424461853705635,57.5538146294365
2019,CHI,0.33374449232173,-33.374449232173
2019,CHI,0.247446915916121,-24.7446915916121
2019,GB,0.457141283790773,-45.7141283790773
2019,GB,0.398705869075351,-39.8705869075351
2019,GB,0.433239435666315,56.6760564333686
2019,GB,0.388197244551931,61.180275544806896
2019,GB,0.284488106594345,-28.4488106594345
2019,GB,0.304991740901545,-30.4991740901545
2019,GB,0.408409860955761,-40.8409860955761
2019,GB,0.433239435666315,-43.3239435666315
2019,GB,0.457607359932611,-45.7607359932611
2019,GB,0.219810978328339,-21.9810978328338
2019,GB,0.323115673240033,-32.3115673240033
2019,GB,0.492201130833864,-49.2201130833864
2019,GB,0.442317416058238,55.7682583941762
2019,CHI,NA,NA
2019,GB,0.482176870702177,51.7823129297823
2019,GB,0.506835825320656,49.3164174679344
2019,GB,0.445898804556435,55.4101195443565
2019,GB,0.397525992555065,-39.7525992555065
2019,TEN,0.424461853705635,-42.4461853705635
2019,PHI,0.413404867042501,-41.3404867042501
2019,PHI,0.390146316213031,-39.0146316213031
2019,PHI,0.279378154471107,-27.9378154471107
2019,PHI,0.343227355811791,-34.3227355811791
2019,MIN,0.279000230337425,72.0999769662575
2019,TEN,0.448726959417082,-44.8726959417082
2019,LA,0.424461853705635,-42.4461853705635
2019,TEN,0.424461853705635,57.5538146294365
2019,MIN,0.258971195370759,-25.8971195370759
2019,WAS,0.448262452956814,55.1737547043186
2019,WAS,0.472770506865263,-47.2770506865263
2019,TEN,0.413741486880532,-41.3741486880532
2019,LA,0.389261878081319,-38.9261878081319
2019,TEN,0.277249999346067,72.2750000653933
2019,LA,0.424461853705635,-42.4461853705635
2019,TEN,0.327996158848875,67.2003841151125
2019,TEN,0.459643105066503,-45.9643105066503
2019,NYJ,0.459176710812735,-45.9176710812735
2019,WAS,0.389261878081319,61.0738121918681
2019,NYJ,0.249357661221697,-24.9357661221697
2019,CAR,0.435253767568093,56.4746232431907
2019,ATL,0.484104915155179,51.5895084844821
2019,NYJ,0.434840014794716,-43.4840014794716
