season,defense,predicted_percent_pcp,pcpoe,EPA
2020,KC,0.241514579409197,-24.1514579409197,-1.009
2020,KC,0.412503366720684,58.7496633279316,-0.885
2020,HST,0.206695912201543,-20.6695912201543,1.536
2020,HST,0.424461853705635,57.5538146294365,0.293
2020,HST,0.390146316213031,-39.0146316213031,0.577
2020,HST,0.268513047229662,-26.8513047229662,-0.474
2020,HST,0.297448832444269,-29.7448832444269,-1.555
2020,HST,0.378845339194914,-37.8845339194914,-1.201
2020,KC,0.400268969609656,-40.0268969609656,1.262
2020,KC,0.400268969609656,59.9731030390344,-0.133
2020,KC,0.413741486880532,-41.3741486880532,0.323
2020,KC,0.343227355811791,-34.3227355811791,0.822
2020,KC,0.413741486880532,58.6258513119468,1.102
2020,HST,0.448262452956814,-44.8262452956814,0.406
2020,HST,0.424461853705635,57.5538146294365,1.006
2020,HST,0.268513047229662,-26.8513047229662,0.504
2020,HST,0.277249999346067,-27.7249999346067,0.529
2020,HST,0.305898868310835,69.4101131689165,-0.188
2020,HST,0.285459226215414,-28.5459226215414,-0.435
2020,HST,0.28470131832668,-28.470131832668,2.591
2020,KC,0.448262452956814,-44.8262452956814,1.558
2020,KC,0.249672894040535,-24.9672894040535,-1.496
2020,KC,0.248976893442118,75.1023106557882,-1.076
2020,HST,0.43739780641593,-43.739780641593,-0.084
2020,HST,0.448262452956814,55.1737547043186,-0.768
2020,HST,0.241514579409197,-24.1514579409197,0.399
2020,HST,0.244843795858409,-24.4843795858409,0.319
2020,HST,0.47855575587633,-47.855575587633,1.106
2020,HST,0.244532673111993,75.5467326888007,1.824
2020,KC,0.304593813647614,-30.4593813647614,0.396
2020,KC,0.305387449393884,-30.5387449393884,-0.737
2020,KC,0.482645778022245,-48.2645778022245,1.879
2020,KC,0.305387449393884,-30.5387449393884,-0.631
2020,KC,0.307639653134852,-30.7639653134852,1.678
2020,KC,0.458070572571766,54.1929427428234,-0.462
2020,KC,0.471660180790642,52.8339819209358,-0.675
2020,KC,0.411424129858678,-41.1424129858678,-1.673
2020,HST,0.305387449393884,-30.5387449393884,-0.663
2020,HST,0.326709569891937,-32.6709569891936,1.668
2020,HST,0.305387449393884,-30.5387449393884,0.859
2020,HST,0.514680867198892,48.5319132801108,-1.799
2020,HST,0.43739780641593,56.260219358407,0.406
2020,HST,0.277249999346067,-27.7249999346067,0.717
2020,HST,0.448726959417082,55.1273040582918,1.383
2020,HST,0.424461853705635,-42.4461853705635,0.535
2020,KC,0.448262452956814,-44.8262452956814,0.652
2020,KC,0.437859989173286,-43.7859989173286,0.561
2020,KC,0.248976893442118,-24.8976893442118,-1.9
2020,HST,0.268240522492317,-26.8240522492317,2.355
2020,HST,0.241514579409197,-24.1514579409197,-0.968
2020,HST,0.240834021620684,-24.0834021620684,2.418
2020,HST,0.324025386492448,67.5974613507552,-1.88
2020,KC,0.413404867042501,-41.3404867042501,1.141
2020,KC,0.459176710812735,-45.9176710812735,1.805
2020,KC,0.413741486880532,-41.3741486880532,-6.693
2020,HST,0.276225883860653,72.3774116139347,-0.382
2020,HST,0.364890453241446,63.5109546758554,1.79
2020,HST,0.222663199284277,-22.2663199284277,2.071
2020,KC,0.279000230337425,-27.9000230337425,0.872
2020,KC,0.424461853705635,-42.4461853705635,0.891
2020,KC,0.277249999346067,-27.7249999346067,-0.631
2020,KC,0.268513047229662,-26.8513047229662,-0.487
2020,KC,0.448726959417082,55.1273040582918,-0.45
2020,KC,0.248976893442118,-24.8976893442118,-1.774
2020,KC,0.199299625692308,-19.9299625692308,3.17
2020,KC,0.29282481887833,-29.282481887833,2.633
2020,HST,0.255738057264828,-25.5738057264828,-1.18
2020,KC,0.284488106594345,-28.4488106594345,0.956
2020,KC,0.29353627023191,-29.353627023191,1.373
2020,KC,0.433239435666315,56.6760564333686,-0.822000000000001
2020,KC,0.457607359932611,54.2392640067389,1.209
2020,KC,0.47855575587633,-47.855575587633,-0.372
2020,KC,0.503209484274747,-50.3209484274747,1.015
2020,KC,0.482176870702177,51.7823129297823,0.214
2020,KC,0.42303507473743,-42.303507473743,-1.014
2020,JAX,0.424461853705635,-42.4461853705635,0.747
2020,BLT,0.413741486880532,-41.3741486880532,0.0739999999999998
2020,JAX,0.25769090258055,-25.769090258055,0.99
2020,NE,0.206695912201543,79.3304087798457,-1.287
2020,BLT,0.379720824946939,62.027917505306,0.736
2020,SEA,0.448726959417082,55.1273040582918,-0.893
2020,SEA,0.248976893442118,-24.8976893442118,2.608
2020,SEA,0.390146316213031,60.9853683786969,-2.019
2020,BUF,0.43739780641593,-43.739780641593,-0.752
2020,SEA,0.389261878081319,-38.9261878081319,-0.613
2020,PHI,0.412503366720684,58.7496633279316,-0.804
2020,BUF,0.267511215656451,-26.7511215656451,-0.523
2020,WAS,0.424461853705635,-42.4461853705635,1.079
2020,BLT,0.437859989173286,-43.7859989173286,-0.88
2020,BLT,0.389261878081319,61.0738121918681,-4.787
2020,MIA,0.424461853705635,-42.4461853705635,-0.607
2020,WAS,0.424461853705635,-42.4461853705635,0.834
2020,JAX,0.424461853705635,57.5538146294365,0.22
2020,MIA,0.28832928725185,71.167071274815,-1.935
2020,ATL,0.43739780641593,56.260219358407,-1.846
2020,CAR,0.390146316213031,-39.0146316213031,-1.009
2020,MIA,0.389261878081319,61.0738121918681,-0.319
2020,CAR,0.33374449232173,-33.374449232173,-1.344
2020,ATL,0.308589382762251,-30.8589382762251,1.03
2020,WAS,0.379720824946939,62.027917505306,-0.57
2020,NYJ,0.424461853705635,57.5538146294365,-0.212
